Company Name:,Facebook URL:,Twitter URL:,YouTube URL:
Wal-Mart Stores,http://www.facebook.com/walmart ,http://twitter.com/WalmartSpecials ,http://www.youtube.com/user/walmart 
Exxon Mobil,http://www.facebook.com/pages/Exxon-Mobil/103179436431279 ,https://twitter.com/#!/ExxonMobil_EU ,http://www.youtube.com/user/ExxonMobil 
Chevron,http://www.facebook.com/Chevron ,http://twitter.com/Chevron ,http://www.youtube.com/chevron 
ConocoPhillips,http://www.facebook.com/pages/Houston-TX/ConocoPhillips/173793155340?ref=ts ,http://twitter.com/conocophillips ,http://www.youtube.com/conocophillips 
Fannie Mae,http://www.facebook.com/FannieMaeCareers/ ,http://twitter.com/#!/FannieMae ,http://www.youtube.com/helpthehomelessdc 
General Electric,http://www.facebook.com/GE ,http://twitter.com/#!/generalelectric ,http://www.youtube.com/user/Gereports 
Berkshire Hathaway,http://www.facebook.com/pages/Berkshire-Hathaway/112244468787782 ,0,0
General Motors,http://www.facebook.com/generalmotors ,https://twitter.com/#!/GM ,http://www.youtube.com/user/gmblogs 
Bank of America Corp.,http://www.facebook.com/BankofAmerica ,https://twitter.com/#!/BofA_News ,http://www.youtube.com/user/bankofamerica 
Ford Motor,http://www.facebook.com/ford ,https://twitter.com/#!/Ford ,http://www.youtube.com/user/ford 
Hewlett-Packard,http://www.facebook.com/HP?rf=108642545826733 ,https://twitter.com/#!/hpnews ,http://www.youtube.com/user/HP 
AT&T,http://www.facebook.com/ATT ,https://twitter.com/#!/ATT ,http://www.youtube.com/user/ShareATT 
J.P. Morgan Chase & Co.,https://www.facebook.com/jpmorgancommunity,https://twitter.com/#!/jpmorganfunds ,0
Citigroup,https://www.facebook.com/citibank ,https://twitter.com/Citibank/ ,https://www.youtube.com/citi 
McKesson,0,https://twitter.com/#!/McKesson ,http://www.youtube.com/user/McKessonCorporation 
Verizon Communications,http://www.facebook.com/pages/Verizon-Communications/112496888763277 ,https://twitter.com/#!/Verizon ,http://www.youtube.com/user/VerizonWireless 
American International Group,http://www.facebook.com/pages/AIG/106038576102094?rf=112198168795422 ,https://twitter.com/#!/AIG_LatestNews ,0
International Business Machines,http://www.facebook.com/pages/IBM/168597536563870 ,https://twitter.com/#!/IBM ,http://www.youtube.com/user/IBM 
Cardinal Health,http://www.facebook.com/pages/Cardinal-Health/109556449069756 ,https://twitter.com/#!/cardinalhealth ,http://www.youtube.com/user/CardinalHealth 
Freddie Mac,0,https://twitter.com/#!/FreddieMac ,http://www.youtube.com/user/freddiemac 
CVS Caremark,http://www.facebook.com/CVS ,https://twitter.com/#!/CVS_Extra ,http://www.youtube.com/user/CVSPharmacyVideos 
UnitedHealth Group,http://www.facebook.com/pages/UnitedHealth-Group/112600232084460 ,https://twitter.com/#!/UHG_AARP_LA ,http://www.youtube.com/user/UnitedHealthGroup 
Wells Fargo,http://www.facebook.com/wellsfargo ,https://twitter.com/#!/WellsFargo ,http://www.youtube.com/user/wellsfargo 
Valero Energy,http://www.facebook.com/valeroenergy ,0,http://www.youtube.com/user/ValeroEnergy1 
